state;City;share_white;share_black;share_native_american;share_asian;share_hispanic;Median_Income;percent_completed_hs;poverty_rate
NY;Moriches ;89.8;2.8;0.2;2.8;8.7;57656;89.6;6
KS;Morland ;95.5;0;1.9;0;0;NA;98.8;18.4
IA;Morley ;99.1;0;0;0;0.9;30313;86.8;29
MO;Morley ;95;1.1;0.4;0;1.7;42188;76.3;30.9
MI;Morley village;94.3;1;0.6;0.4;5.7;36250;81.3;21.4
TX;Morning Glory;85.9;0.2;0.5;0;98;28026;79.8;30.3
IA;Morning Sun;98.3;0.5;0.1;0;1.6;47778;84.8;10.3
NM;Morningside ;56.1;0;1.9;0;83.7;70604;38;8
SD;Morningside ;98.1;0;0;0;15.2;NA;61;9.7
MD;Morningside town;20.6;67.3;0.3;3.9;8.6;75163;84.3;5.3
OR;Moro ;92.6;0;3.1;0;4;30417;89.8;23.6
AR;Moro town;93.5;5.6;0;0.9;0.5;34821;80.8;19.9
IN;Morocco town;99.1;0.1;0.1;0.2;2.2;43359;81;14.6
CA;Morongo Valley;86.6;1.1;2.1;0.9;14.9;34276;80.9;15.4
UT;Moroni ;85.7;0.1;0.4;0;22.8;45893;74;17.7
OH;Morral village;96.5;0.8;0.8;0.3;1.5;47292;79.4;10.8
MI;Morrice village;97;0.1;0.6;0.1;1.6;57917;91.6;11.9
KS;Morrill ;96.5;0;1.3;0;2.2;51719;87;27.5
NE;Morrill village;93.3;0;1.3;0.5;10.1;42750;88.6;11.8
AR;Morrilton ;77.1;15.8;0.7;0.8;6.5;27662;80.3;35.2
IL;Morris ;93.2;1;0.2;0.7;9.6;56750;90.2;10.8
MN;Morris ;90.9;1.3;1.5;2.5;3.2;41991;88.4;27.6
OK;Morris ;65.5;0.7;27.3;0.1;2.4;42727;91.6;18
NJ;Morris Plains;89.4;2.7;0.1;5;5.7;110817;96.3;2.1
AL;Morris town;97.7;1;0.1;0.3;1.1;70043;84.9;5.8
NY;Morris village;96.6;1;0;0;3.3;40000;95.3;10.1
PA;Morrisdale ;97.3;0.7;1.1;0;0.4;49423;77.2;9.3
AR;Morrison Bluff;93.8;0;1.6;0;6.3;31250;92.1;30.9
IL;Morrison ;96.8;0.8;0.6;0.1;2.6;44577;88.2;7.5
IA;Morrison ;92.6;2.1;0;1.1;0;56250;95.3;2.1
MO;Morrison ;100;0;0;0;1.4;35000;89.4;23.1
AL;Morrison Crossroads;92.7;2.3;0;0.5;5.5;21169;93.8;9.5
CO;Morrison town;97.4;0;0.7;0.7;4.7;59583;91.6;9.3
OK;Morrison town;85.4;0.5;8.7;0;2.2;50313;84.2;13.6
TN;Morrison town;77.7;5.8;0;0;16.9;28594;68.4;40.3
NY;Morrisonville ;97;1.1;0.1;0.2;1.6;41336;94.5;23.9
IL;Morrisonville village;98.5;0.6;0.3;0;0.9;53672;91.8;9
FL;Morriston ;75.6;1.8;0.6;0;37.8;43661;100;0
AZ;Morristown ;96.5;0;0.4;0;4.8;24091;96.9;11.3
MN;Morristown ;96.3;0.6;0;0.2;3.6;47188;82.4;7.5
TN;Morristown ;77.2;6.7;0.5;0.9;19.7;30846;77;28.9
IN;Morristown town;98.6;0.1;0.7;0.1;1.3;46875;84.7;11.2
NJ;Morristown town;62.5;14;0.6;4.3;34.1;77407;85.1;10.7
SD;Morristown town;95.5;0;4.5;0;0;31667;85.4;17.8
NY;Morristown village;98.2;0.8;0.8;0.3;0.5;58750;90.4;6.7
OH;Morristown village;96.7;1.7;0.3;0;1;42917;92.5;6.4
PA;Morrisville borough;75.7;15.4;0.3;2;10.2;61615;91.5;7
PA;Morrisville ;96;1.7;0.6;0.8;1.5;43859;93.6;8.6
MO;Morrisville town;94.3;1;0.8;0;1.8;33333;86.1;27.8
NC;Morrisville town;54;12.9;0.4;27.2;5.9;91206;95;4.4
NY;Morrisville village;73;20.4;0.4;1.4;6.7;50652;89.5;15.3
VT;Morrisville village;96.2;0.7;0.4;0.9;2;38684;87.8;18
CA;Morro Bay;87.1;0.4;0.9;2.5;14.9;51338;91.2;12.9
GA;Morrow ;22.1;45.5;0.3;25.5;9.5;48230;73.8;16.2
OH;Morrow village;96.5;0.4;0.2;0.3;2;42321;86.3;16.4
KS;Morrowville ;98.7;0;0;0;0;40250;80.2;9.1
NE;Morse Bluff;99.3;0;0;0.7;2.2;30962;83;13.2
TX;Morse ;92.5;0.7;0;0;30.6;65000;76.9;19.4
LA;Morse village;99.5;0.5;0;0;0.4;46607;77.2;16.8
PA;Morton borough;65.1;25.4;0.3;6;2.2;51125;89.7;8.2
MN;Morton ;86.4;0;8;1;2.9;39531;89.6;6.6
MS;Morton ;44.5;35.9;0.3;0.1;25.7;29598;71.6;29.6
TX;Morton ;70.3;4.6;1.2;0.2;61.1;29563;57.6;24.5
WA;Morton ;94.2;0.5;1.2;0.6;2.9;36739;89.4;15.1
IL;Morton Grove;66.2;1.2;0.2;28;6.5;75166;90.8;8.8
IL;Morton village;96.3;0.7;0.2;1.3;1.7;72855;95.1;4.6
KY;Mortons Gap;95.9;2.2;0.3;0;2.3;30060;62.5;31.4
GA;Morven ;36.5;56.8;0.2;0;8.5;28073;66.8;25.1
NC;Morven town;19.8;74.6;0.4;0;2.9;22361;56.5;40.2
MO;Mosby ;97.4;1.1;0;0.5;1.6;46875;72.4;8.7
PA;Moscow borough;97.9;0.3;0;0.9;1.7;81500;95.5;7.3
MD;Moscow ;100;0;0;0;0;NA;75.9;16.4
ID;Moscow ;90.9;1.1;0.6;3.1;4.6;34121;97.3;28.7
KS;Moscow ;73.2;0;3.5;0;38.7;56563;82.1;8.4
TN;Moscow ;42.1;56.5;0;0;3.2;33611;76.2;30.2
MO;Moscow Mills;91.6;3.7;0.1;0.4;2;38750;81.6;20.9
OH;Moscow village;98.4;1.1;0;0;1.6;58750;92.2;22.6
WA;Moses Lake;76.4;1.6;1;1.5;30.1;48174;83.4;14.6
WA;Moses Lake;69.9;4;2.7;1.5;33.6;32028;76.7;33.5
PA;Moshannon ;99.6;0;0;0.4;0;50938;83.2;13
TN;Mosheim town;96.7;0.7;0;0.2;1.7;35097;76.9;18.6
OR;Mosier ;90.1;0.2;2.3;1.2;22.4;42500;87.8;11.6
WI;Mosinee ;97.6;0.3;0.5;0.5;1.3;58971;94.3;5.2
CA;Moskowite Corner;86.7;0.5;6.6;0.5;11.8;52750;91.3;13.4
NM;Mosquero village;84.9;0;1.1;0;57;36250;83.3;5.8
AK;Mosquito Lake;84.5;0;4.2;0.6;3.6;31736;89.6;9.5
CA;Moss Beach;73.5;0.8;1.4;3.8;29.1;91441;87;5.1
LA;Moss Bluff;90;6;0.5;1;2.9;61478;91.2;5.1
CA;Moss Landing;73;3.4;0.5;1;22.5;31500;82.8;19
MS;Moss Point;23.9;73.6;0.2;0.4;1.9;34831;85.6;21.6
AL;Mosses town;1.5;97.9;0;0;1.8;15240;60.4;55.8
WA;Mossyrock ;71;0.1;0.8;0.1;30.8;39938;76.8;10.5
VA;Motley ;72.3;25.7;0.2;0.2;0.4;43173;83.1;13.5
MN;Motley ;94.5;0.1;0.4;0;4.3;27656;85.2;25.9
ND;Mott ;97.9;0;0.4;0;0;46579;88.7;17.3
AL;Moulton ;78.2;13.1;4.1;0.4;1.6;28843;79.2;24.3
IA;Moulton ;98.3;0;0.3;0;0.8;32083;86.7;35.5
TX;Moulton town;84.5;0.7;0;0.1;21.4;47917;59.3;15.8
GA;Moultrie ;42.6;49.5;0.3;0.7;10.2;25181;72.3;36
MS;Mound Bayou;1.3;98.6;0;0.1;0.9;22974;82.2;43.7
MN;Mound ;95.8;0.9;0.3;1.3;1.8;73750;96.7;7.6
IL;Mound ;44.4;53.4;0.2;0.2;1.5;25515;69.2;34.7
KS;Mound ;95.8;1;0.6;0;1.7;38839;92.5;19.2
MO;Mound ;96.1;0.2;2.4;0.7;1.1;43750;88.4;12.6
SD;Mound ;98.6;0;0;0;0;35536;84.5;9.9
IL;Mound Station;100;0;0;0;0.8;67813;94.2;1.8
KS;Mound Valley;92.9;0;2.2;0;2.2;35750;83.3;15.5
LA;Mound village;78.9;21.1;0;0;0;80625;87.5;7.1
KS;Moundridge ;96.9;0.3;0.4;0.1;3.4;44886;87.7;8.5
IL;Mounds ;22.7;73.7;0.7;0.4;3.2;20227;78.6;35.2
OK;Mounds town;76;1.4;15.6;0.2;3.3;35625;87.9;18.9
MN;Mounds View;81.3;5.5;0.8;7;5;57799;91.6;12.6
WV;Moundsville ;97.5;0.8;0.2;0.4;1.1;34628;88.2;17.6
AL;Moundville town;56.2;40.4;0.7;0.7;1.8;39719;77.3;18.7
MO;Moundville town;97.6;0;0;0;2.4;22059;79.6;11.4
MD;Mount Aetna;91.8;1.2;0;3.7;3.7;78333;97.9;0
PA;Mount Aetna;94.1;1.1;1.1;0;3.4;42448;75.8;0
NC;Mount Airy;84.1;8.2;0.3;1.4;6.7;33058;75.7;23.1
GA;Mount Airy;81.3;2.3;0.2;7.9;11.9;41184;72.5;18.1
MD;Mount Airy;92.1;2.4;0.2;2.2;4.7;105483;94.8;2.7
OR;Mount Angel;82.6;0.5;1;0.5;26.1;42778;85.5;10.3
NJ;Mount Arlington;90.4;2.3;0.2;3.6;8.2;84912;96.3;0.7
IA;Mount Auburn;98;0;1.3;0;0.7;45417;91.1;6
IN;Mount Auburn;98.3;0;0;0.9;0;42500;90;14.2
IL;Mount Auburn;98.1;0.4;0.4;0;0.8;52941;90.3;19.2
IA;Mount Ayr;98.1;0.1;0.1;0.7;1.6;45688;87.5;10.4
IN;Mount Ayr;97.5;0;0;0;5.7;35625;71;6.3
OH;Mount Blanchard;96.5;0.4;0;0;2.6;44464;92.5;16.8
MD;Mount Briar;96.9;3.1;0;0;0;67105;88.5;0
TX;Mount Calm;80.6;7.2;0.6;0.3;20.3;44000;82;12.7
WI;Mount Calvary;83.6;1.3;1;8.3;10.9;63750;92.5;5.5
PA;Mount Carbon;91.2;3.3;0;2.2;1.1;38750;94.7;4.5
WV;Mount Carbon;95.1;1.9;0;1.4;0.2;38378;91.1;29.2
PA;Mount Carmel;97.3;0.6;0.2;0.4;1.5;32025;85.8;18.1
FL;Mount Carmel;97.4;0;1.3;0;0.4;NA;100;0
OH;Mount Carmel;94.1;1.3;0.2;0.9;3.1;43235;85.7;13.8
SC;Mount Carmel;8.8;88.9;0;1.9;0;45833;52.3;25.5
IL;Mount Carmel;96.1;0.9;0.2;0.8;1.8;40616;90.4;15.7
IN;Mount Carmel;97.7;0;0;0;0;36042;61.8;32.8
TN;Mount Carmel;97.8;0.6;0.1;0.3;1.3;47500;85;13.1
IL;Mount Carroll;98.1;0.2;0.1;0.6;2.7;39870;92.5;11
NV;Mount Charleston;91.6;0.6;1.4;1.1;5.6;75833;100;3.6
IL;Mount Clare;99.3;0;0;0;0;38750;85.8;21.7
MI;Mount Clemens;70;24.8;0.3;0.5;2.9;35653;84.5;22.3
PA;Mount Cobb;98.5;0.3;0.1;0.4;0.8;57083;91.6;8
OH;Mount Cory;96.1;0;0.5;1.5;0;46250;81.8;14.6
VA;Mount Crawford;94.5;3;0;0.5;2.3;56458;90.9;3.9
CO;Mount Crested;96;0;0.9;0.6;3;48563;98.2;9.2
SC;Mount Croghan;82.1;7.7;0;0;7.7;46250;81.7;17.2
FL;Mount Dora;77.5;15.6;0.4;1.8;11.7;47813;87.5;12.9
PA;Mount Eagle;99;0;1;0;0;43750;96.7;2.7
OH;Mount Eaton;98.8;0;0;0;0.4;45000;79;15.2
TX;Mount Enterprise;86.4;7.6;0;0;8.3;36731;74.2;20.3
NJ;Mount Ephraim;93.6;2.1;0.1;0.7;5.3;61715;89.4;12.4
IL;Mount Erie;100;0;0;0;0;39375;85.7;10.3
IN;Mount Etna;96.8;0;0;0;2.1;44000;90.9;1
WV;Mount Gay-Shamrock;92.4;6.7;0.2;0.1;1.2;37581;79.4;12.9
NC;Mount Gilead;41.2;56;0.1;0.7;1.2;32273;83.6;25.8
OH;Mount Gilead;97.1;0.3;0.1;0.2;1.9;38023;90.5;16.6
PA;Mount Gretna;99;0;0;0;0.5;118059;99.1;0
PA;Mount Gretna;98.1;0;0;0.6;3.1;55583;100;17.5
OH;Mount Healthy;62.4;33;0.2;0.7;1.9;33321;90.4;24.5
OH;Mount Healthy;57.5;37.5;0;0.6;2;42298;84.2;30.1
CA;Mount Hebron;76.8;0;1.1;0;43.2;20000;70;5.1
CA;Mount Hermon;93;0.6;0.3;1.4;8;74000;100;9.2
NJ;Mount Hermon;95.7;0.7;0;2.1;1.4;92813;96;13.9
VA;Mount Hermon;88.1;8.5;0.2;1.4;1.5;65347;88.3;10.9
NC;Mount Holly;80.4;12.7;0.4;2.4;5.5;49525;85.9;11.7
PA;Mount Holly;92.4;2.8;0.2;0.3;4.5;50703;88.6;7.2
OR;Mount Hood;74.5;0;0.7;0;30.4;63542;100;0
OR;Mount Hood;93;0.1;1.3;0.7;5.6;63348;94.1;7.6
KS;Mount Hope;94.1;0.4;1.4;0.2;4.7;51250;90.1;11.5
WV;Mount Hope;77;18;0.5;0.4;1.6;21218;88.1;42.3
WI;Mount Hope;92;0;0;0.4;7.6;43125;92.2;12.2
WI;Mount Horeb;96;0.8;0.2;0.6;1.7;65703;96.8;5
AR;Mount Ida;95.1;0.1;1.4;0;2.8;38631;83.1;16
NY;Mount Ivy;65.6;15.9;0.4;6;24.3;70226;87.7;9.1
VA;Mount Jackson;84.1;1.1;0.9;0.7;20.5;35750;70.4;20.9
PA;Mount Jewett;99.1;0;0.3;0;1;42500;87.4;21.2
PA;Mount Joy;91.9;2.5;0.3;0.8;7.4;53900;91.4;11.1
TN;Mount Juliet;86.9;6.7;0.4;2.5;3.3;75973;93.8;8.4
NY;Mount Kisco;69.5;5.2;0.8;4.8;35.1;68556;82.2;14
CA;Mount Laguna;96.5;0;0;1.8;1.8;NA;100;0
LA;Mount Lebanon;83.1;13.3;0;0;0;NA;94.9;17.8
MD;Mount Lena;97.9;0.2;0.4;1;1.7;73424;86.2;15.1
MO;Mount Leonard;83.9;1.1;0;1.1;0;31750;65.6;30.1
MO;Mount Moriah;100;0;0;0;4.6;24688;78.2;42.7
PA;Mount Morris;98.9;0.3;0.3;0;0;58750;87.5;4.7
MI;Mount Morris;80.1;13.4;0.6;0.5;4.4;20563;78.6;38.4
IL;Mount Morris;95.8;0.6;0.2;0.2;4.1;41733;83.8;18.1
NY;Mount Morris;92.5;2.1;0.6;0.6;9.3;36875;84.5;21.4
AL;Mount Olive;74.9;23.2;0.5;0;0.5;NA;87.3;1.7
AL;Mount Olive;97.7;1;0.2;0.3;0.5;73345;92.5;11
IL;Mount Olive;99;0.2;0.3;0.1;0.9;48843;89.8;8.7
MS;Mount Olive;43.5;55.1;0.3;0;0.9;22328;85.1;36.4
NC;Mount Olive;40.4;50.5;0.8;0.4;9.2;25838;74.4;31.5
PA;Mount Oliver;61.4;32.9;0.3;1.1;1.9;28155;79.7;36.6
KY;Mount Olivet;99.3;0;0;0;0;19191;77.4;36.3
OH;Mount Orab;97.7;0.7;0.1;0.6;0.6;40109;79.1;17.4
PA;Mount Penn;84.3;4.3;0.5;1.3;14.1;47750;90.8;11.2
PA;Mount Pleasant;97.1;1.7;0.1;0.1;0.7;42583;91.4;15.2
IA;Mount Pleasant;85.7;4.3;0.4;4.4;6.7;45539;92.1;20.2
MI;Mount Pleasant;87.6;3.9;2;3;3.3;30833;93.2;43.4
TN;Mount Pleasant;75.7;20.7;0.4;0.2;2;34963;81.2;25.7
TX;Mount Pleasant;57.8;14.7;1.2;1.1;51;38903;64;22
UT;Mount Pleasant;94.5;0.3;0.6;0.4;5.2;51071;89.3;19.6
PA;Mount Pleasant;98.3;0.4;0.4;0;0;49500;88.9;9.3
AR;Mount Pleasant;95.2;2.2;0.7;0.2;0;32083;87.9;9.7
NC;Mount Pleasant;94.3;4;0.1;0.7;1.8;55398;93;7.9
SC;Mount Pleasant;91.3;5.1;0.2;1.6;2.7;77638;97.6;7.4
OH;Mount Pleasant;97.7;0.8;0.4;0.6;0.2;35972;88.4;28.2
WI;Mount Pleasant;86;6.7;0.2;2.1;8.3;63295;92.9;7.3
FL;Mount Plymouth;88.3;5.1;0.9;0.6;9.4;69513;88;4.8
PA;Mount Pocono;66.7;19.9;0.7;2.5;17.7;43705;86.8;13.5
IL;Mount Prospect;77;2.4;0.4;11.7;15.5;69520;89.7;5.2
IL;Mount Pulaski;98.1;0.4;0.1;0.3;1.1;56250;93.4;9.2
MD;Mount Rainier;19.9;52.8;0.6;2.3;31.4;45677;73.3;13.3
OH;Mount Repose;95.7;0.9;0.2;1.7;1.7;65980;93.9;7.4
MD;Mount Savage;96.4;0.6;0;0.1;1.6;51111;91.3;7.5
CA;Mount Shasta;89.6;1.8;0.6;1.6;8.2;39777;92.7;23.3
VA;Mount Sidney;95;2.4;0.6;0;3.5;NA;87.4;3.2
NY;Mount Sinai;92.1;1.5;0.1;4;5.8;108642;93.4;6.3
IL;Mount Sterling;97.6;0.4;0.1;0.4;1;40517;88.4;15.5
KY;Mount Sterling;90.3;6.1;0.1;0.7;3.3;40754;83.6;24
OH;Mount Sterling;97.5;0.3;0.4;0.7;2;34233;88.1;23
WI;Mount Sterling;99.5;0;0;0.5;0;38750;91.3;7.9
IN;Mount Summit;97.2;0;0.3;0;2.3;50625;86.5;13.5
PA;Mount Union;84.4;10.4;0.1;0.2;1.7;28271;87.7;30.3
IA;Mount Union;100;0;0;0;3.7;41667;85.5;26.3
MD;Mount Vernon;80.4;18.1;0.4;0;0.9;39350;91.9;4.4
VA;Mount Vernon;71.5;12.8;0.4;6.7;13.5;124735;90.7;6.5
GA;Mount Vernon;51.6;42.9;0;0.5;5.4;30417;83;25.7
IL;Mount Vernon;80.6;14.7;0.3;1;2.4;36218;86.3;20.9
IN;Mount Vernon;93.4;2.8;0.3;0.4;1.7;46422;89.8;18
IA;Mount Vernon;95;0.9;0.2;1.7;1.9;68910;96.7;4.9
KY;Mount Vernon;98.4;0.3;0.2;0;0.6;20651;72;37.8
MO;Mount Vernon;95.3;0.4;1.3;0.5;2.1;32975;86.4;13.4
NY;Mount Vernon;24.3;63.4;0.5;1.8;14.3;50952;84.6;15.3
OH;Mount Vernon;95.3;1.1;0.2;1.1;1.8;36470;87.9;21.2
OR;Mount Vernon;95.4;0;0.2;0.2;3;29583;82.2;27.5
SD;Mount Vernon;92.6;0;5.4;0;2.2;51563;92.2;16.6
WA;Mount Vernon;72.8;1;1.6;2.7;33.7;47308;80;21.9
AL;Mount Vernon;23.4;73.6;1.7;0.1;0.7;40750;80.8;31.3
AR;Mount Vernon;94.5;0;0.7;0.7;0;48125;90.5;6.7
TX;Mount Vernon;75.7;12;1.1;0.6;14.7;35781;81.6;27.2
OH;Mount Victory;98.1;0.6;0;0.5;1.1;40208;88.1;8.6
WA;Mount Vista;87.8;1.9;0.8;3.9;5;72193;96;7.6
KY;Mount Washington;97.1;0.6;0.1;0.4;1.6;62030;90.6;10.8
NV;Mount Wilson;97;0;0;0;6.1;NA;100;0
PA;Mount Wolf;95;1;0.1;0.6;3.2;56406;86.7;7.8
GA;Mount Zion;90.2;3.8;0.7;2.2;2.5;41976;79;28.5
IL;Mount Zion;96.5;0.7;0.1;1.1;1.4;70000;95.5;3.9
AL;Mountain Brook;97.2;1;0.1;0.9;1;126534;99.5;3
WI;Mountain ;95.9;0;2.2;0;1.1;32500;79.3;23.9
CA;Mountain Center;95.2;0;1.6;1.6;23.8;NA;100;0
ND;Mountain ;97.8;0;1.1;0;1.1;50625;79.2;8.9
TX;Mountain ;90.9;0.3;0.8;0.8;22.4;113125;98.2;1.2
GA;Mountain ;86.2;0.5;1.2;0.7;16.3;21613;75.2;25.3
TN;Mountain ;96.8;1;0.2;0.2;2.2;25905;78.5;29.9
CA;Mountain Gate;90.1;0.7;2.9;0.5;5.2;32337;87.2;23.4
UT;Mountain Green;97.8;0;0.1;0.9;2.1;102107;99.2;4.1
MO;Mountain Grove;96.4;0.3;1;0.4;2.2;26621;80;27.3
ID;Mountain Home;76.7;5.5;0.4;8.4;10.3;37574;96.4;5.7
NC;Mountain Home;89.6;3.1;0.7;1.4;8.6;34688;91.1;12
AR;Mountain Home;96.6;0.3;0.5;0.6;2;33255;88;15.8
ID;Mountain Home;83.2;3.3;1;2.9;11.9;46739;88.6;18
CA;Mountain House;35.8;9.3;0.5;39.6;16.9;106976;93.2;5.8
MN;Mountain Iron;96.8;0.3;0.7;0.2;0.6;50703;92;11.9
NJ;Mountain Lake;95.7;0.5;0.2;1.4;2.4;59688;93.7;7.8
MN;Mountain Lake;82.8;0.8;0.2;10.3;10.7;44052;83.4;15
MD;Mountain Lake;97.8;0.4;0.1;0.3;0.6;39688;89.7;17.7
NJ;Mountain Lakes;89.6;0.4;0.1;7.6;2.5;164432;98.1;3.2
NH;Mountain Lakes;95.3;1.2;1.2;0.4;1.6;47155;93.5;1.4
NY;Mountain Lodge;83.7;5;2.6;0.9;18.1;86902;86.1;1.1
CO;Mountain Meadows;95.6;0;0;2.6;1.1;NA;100;15.1
CA;Mountain Mesa;88.4;0.9;2.1;0.8;9.9;24028;83.6;67.1
GA;Mountain Park;67.9;14.7;0.5;11.8;6.8;70814;90.8;9.3
GA;Mountain Park;97.4;0.7;0.4;0.4;3.1;56406;97.9;14.6
OK;Mountain Park;89.2;2.2;3.4;0.2;7.6;33750;88;23.7
AR;Mountain Pine;74.2;20.4;1.2;0.5;3.2;31333;69.4;25
CA;Mountain Ranch;90.4;0.9;2;1.1;7.6;36994;96.5;18.9
VA;Mountain Road;34.6;63.6;0;0;0.6;33321;66.7;13.4
PA;Mountain Top;93.7;0.8;0.1;3.6;2.2;70740;95.9;5.1
CA;Mountain View;55.8;6.9;1.5;3.1;52.6;55620;73.5;22.2
CA;Mountain View;79.9;2.5;1.3;3;22.1;49867;84.6;21.9
HI;Mountain View;24.9;0.4;0.7;16;20.4;48317;97.6;34.9
NM;Mountain View;63.9;0;0;1.6;70.5;NA;55.7;0
NC;Mountain View;85.8;8.1;0.2;2.7;4.2;46782;86.2;5.4
WY;Mountain View;96.9;0;1;0;5.2;NA;100;27.2
AR;Mountain View;97.2;0.2;0.2;0.5;1.4;23750;68.6;35.4
CA;Mountain View;56;2.2;0.5;26;21.7;103488;93.1;7.8
MO;Mountain View;97.6;0.1;0.5;0.3;1.8;22724;82;30.2
CO;Mountain View;80.1;0.4;2.4;0.6;28.4;45714;82.2;10.7
OK;Mountain View;79.5;0.1;16.5;0;2.8;38684;84.6;19.8
WY;Mountain View;97;0.1;0.2;0.1;3.9;64219;97.4;14.9
AK;Mountain Village;4.2;0;91.9;0.7;0.4;39205;77.8;29
CO;Mountain Village;89.9;1;0.7;1;17.4;35568;97.8;15.2
NM;Mountainair town;65;1.4;1.7;0.4;54.6;22500;79.4;52.6
AZ;Mountainaire ;90;0.9;3.2;0.4;8;57273;94.9;4
AR;Mountainburg ;95.6;0;3;0.2;0.5;33125;83.5;15.6
PA;Mountainhome ;91.7;2.9;0.3;0.8;4.8;67933;89.3;27.8
NJ;Mountainside borough;91.3;2;0;4.9;6.1;133571;95.4;4.6
WA;Mountlake Terrace;71.7;4.3;1.1;11.2;10.5;65069;91;7.8
PA;Mountville borough;90;3.9;0.1;2.3;5.2;53036;92.6;6.5
SC;Mountville ;80.6;13;0;0.9;5.6;46528;100;21.7
AL;Movico ;2.6;96.7;0.3;0;0;NA;81.9;12.9
IA;Moville ;96.7;0.4;0.6;0.4;1.9;56250;97;5.6
TN;Mowbray Mountain;99.4;0;0.2;0.1;0.6;46833;78;21.9
IL;Moweaqua village;98;0.3;0.5;0.2;1;50234;89.8;12.5
OH;Mowrystown village;99.7;0;0;0;0;29875;80;24.9
WA;Moxee ;70.9;0.6;2.3;1.2;39;55373;85.3;15.1
ID;Moyie Springs;93.6;0.8;0.7;0.1;7.7;35208;87;22.1
NC;Moyock ;88.5;6.9;0.4;1.2;3.6;82423;95;5
AK;Mud Bay;93.9;0;3.8;0.9;2.4;119423;95.4;0
ID;Mud Lake;63.4;0;1.1;0;44.4;45313;70.4;11.2
MT;Muddy ;2.4;0;95;0;8.3;34375;84.2;40.7
IL;Muddy village;97.1;1.5;0;0;0;38125;88.2;7.7
TX;Muenster ;97.7;0.1;0.3;0.6;3.9;59667;93.3;9.9
PA;Muhlenberg Park;93.3;2.6;0.1;0.1;8.7;49452;87.9;6.3
CA;Muir Beach;91.3;1.6;0.3;3.9;2.3;135278;100;0
PA;Muir ;99.3;0;0;0;0.4;NA;92.6;1
MI;Muir village;94.7;0.2;1;1.5;3;40521;87.3;32.3
WA;Mukilteo ;74.9;1.7;0.6;17.1;4.4;94863;97;4.8
WI;Mukwonago village;97.4;0.2;0.2;0.9;3.2;61622;95.7;7.1
FL;Mulat ;93.1;0.4;0.8;1.5;4.6;NA;100;28.4
NC;Mulberry ;95.6;1;0;0.3;3.9;34491;76.2;24.3
OH;Mulberry ;95;2.1;0.2;1;1.3;64438;92.8;2.9
OK;Mulberry ;23.9;1.4;62.3;0;7.2;27045;68.1;38.8
SC;Mulberry ;46.9;40.3;0;0;13;31042;73.2;53
AR;Mulberry ;96.3;0.7;1.7;0.1;2;27229;82.5;30
FL;Mulberry ;79.5;14.6;0.3;0.5;12.8;33708;80.1;20.6
KS;Mulberry ;89.8;0.6;3.7;0;3.5;27955;83.4;19.5
IL;Mulberry Grove;93.8;4.7;0;0;1.6;41250;88.3;26
IN;Mulberry town;98.4;0.2;0.4;0;1;47500;81.9;11.1
KY;Muldraugh ;85.5;7;0.5;0.5;2.9;23889;79;38.6
OK;Muldrow town;70.6;1.6;16.6;0.5;4.8;33000;82.9;30.6
TX;Muleshoe ;75.2;1.3;1.5;0.4;64.3;35619;66.4;15.6
CO;Mulford ;91.4;0;1.1;0.6;7.5;NA;88.4;4.7
AL;Mulga town;81;16.9;0.1;0;0.6;34886;72;30.5
OK;Mulhall town;89.8;1.8;1.3;0;3.1;57083;89.4;28.6
OR;Mulino ;95.8;0.2;1;0.4;2.8;80081;91.5;7.2
IL;Mulkeytown ;99.4;0;0;0.6;0;NA;87.5;19.9
ID;Mullan ;95.8;0;1;0.1;2.2;42321;82.2;22.6
NE;Mullen village;98.4;0;0.8;0;1.4;36061;92.4;14.8
WV;Mullens ;96.5;2.2;0.1;0;0.1;43942;90.9;13.8
NJ;Mullica Hill;92.9;3.8;0.1;1.3;3.2;101469;90.7;4.4
MI;Mulliken village;96.6;0;0.2;0;3.1;58000;91.1;15
TX;Mullin town;89.4;0;0;0;18.4;23750;67.1;28.7
SC;Mullins ;31.2;65.8;0.4;1;0.8;29087;77.2;23.8
KS;Mullinville ;94.9;0.8;0.4;0.8;8.2;43750;89.2;8.9
KS;Mulvane ;94.4;0.6;1.1;0.8;3.5;67367;96.7;4
IN;Muncie ;84;10.9;0.3;1.2;2.3;31044;86.4;32.2
IL;Muncie village;97.9;0;0;0;1.4;40833;87.1;11.4
PA;Muncy borough;97;0.2;0.4;1;1.7;48413;90.3;9.7
TX;Munday ;70.5;7;0.5;0;38.2;33850;75.4;23.7
IL;Mundelein village;72.3;1.5;0.7;8.8;30.1;76750;88.8;6.7
KS;Munden ;100;0;0;0;0;37188;92.9;38.9
AZ;Munds Park;90.3;1.3;0.8;0.6;8.1;NA;100;15.9
PA;Mundys Corner;99.6;0;0;0;0;43050;93.7;12.4
TN;Munford ;87.9;7.2;0.6;1.5;3;63542;93;9.2
AL;Munford town;82.4;15.6;0.5;0;1;34034;87.3;18.8
KY;Munfordville ;85.2;11.8;0.1;0.6;1.4;21800;70.6;40.9
PA;Munhall borough;87.5;9.5;0.1;1;1.5;47756;93;8.7
ND;Munich ;99.5;0;0;0;0;54583;90.6;5.2
MI;Munising ;91.2;0.2;4.8;0.7;1.4;33953;88.9;18.7
