Geographic;City;percent_completed_hs
AL;Akron town;68.6
CO;Akron town;87.9
IN;Akron town;69.2
MI;Akron village;84.8
NY;Akron village;93.7
AK;Akutan city;73
AL;Alabaster city;89.3
FL;Alachua city;93.4
FL;Alafaya CDP;93.9
AK;Alakanuk city;65.4
NC;Alamance village;96.3
CA;Alameda city;91.3
NM;Alamillo CDP;100
CA;Alamo CDP;98.5
NV;Alamo CDP;92.3
NM;Alamo CDP;56.2
ND;Alamo city;86.3
TX;Alamo city;62.8
TX;Alamo Heights city;97.9
AZ;Alamo Lake CDP;100
GA;Alamo town;70.2
IN;Alamo town;90.9
TN;Alamo town;76.1
NM;Alamogordo city;88.8
CO;Alamosa city;83.8
CO;Alamosa East CDP;85
MI;Alanson village;91.2
GA;Alapaha town;84.2
AK;Alatna CDP;100
PA;Alba borough;85.9
MI;Alba CDP;79.1
MO;Alba city;89.9
TX;Alba town;83.2
OK;Albany CDP;94.9
WY;Albany CDP;85.4
CA;Albany city;96.4
GA;Albany city;79.9
KY;Albany city;64.5
MN;Albany city;81.6
MO;Albany city;86.9
NY;Albany city;89.6
OR;Albany city;89.9
TX;Albany city;88
IN;Albany town;91.9
IL;Albany village;89.4
LA;Albany village;91.3
OH;Albany village;90.2
VT;Albany village;89.6
WI;Albany village;89
SD;Albee town;80
NC;Albemarle city;80.2
IL;Albers village;91.3
KS;Albert city;96.5
IA;Albert City city;92.3
MN;Albert Lea city;86.5
MN;Alberta city;96.4
VA;Alberta town;83.5
MT;Alberton town;94.7
NY;Albertson CDP;93.1
AL;Albertville city;72.7
MN;Albertville city;96.9
IA;Albia city;86.8
WY;Albin town;79.1
PA;Albion borough;88.8
CA;Albion CDP;93.6
ID;Albion city;92.4
IL;Albion city;87.2
IA;Albion city;91.3
MI;Albion city;85.9
NE;Albion city;93.1
IN;Albion town;82.2
OK;Albion town;89.5
WA;Albion town;90.8
NY;Albion village;75.2
WV;Albright town;75.2
PA;Albrightsville CDP;92
NM;Albuquerque city;89
VT;Alburgh village;88.1
IA;Alburnett city;95.8
PA;Alburtis borough;92.1
NM;Alcalde CDP;91.7
AK;Alcan Border CDP;100
SD;Alcester city;83.8
TN;Alcoa city;87.2
SC;Alcolu CDP;80.9
MS;Alcorn State University CDP;93
WY;Alcova CDP;-
NE;Alda village;76.2
PA;Aldan borough;94
MI;Alden CDP;88.5
IA;Alden city;84.2
KS;Alden city;90.3
MN;Alden city;91.6
NY;Alden village;96.2
MT;Alder CDP;95.3
WA;Alder CDP;100
CA;Alderpoint CDP;70.5
OK;Alderson town;87
WV;Alderson town;90.9
WA;Alderton CDP;88.4
WA;Alderwood Manor CDP;92.1
TX;Aldine CDP;46.9
GA;Aldora town;71
MN;Aldrich city;86.4
MO;Aldrich village;75.5
IL;Aledo city;93.4
TX;Aledo city;93.6
AK;Aleknagik city;84
AK;Aleneva CDP;0
OK;Alex town;82.5
AR;Alexander city;78.1
IA;Alexander city;84.4
KS;Alexander city;90.3
ND;Alexander city;83.7
AL;Alexander City city;78.1
NY;Alexander village;94.5
NY;Alexandria Bay village;86.6
PA;Alexandria borough;93.2
AL;Alexandria CDP;88.8
IN;Alexandria city;81.5
KY;Alexandria city;93.5
LA;Alexandria city;81.7
MN;Alexandria city;92.6
MO;Alexandria city;85.6
SD;Alexandria city;95.8
VA;Alexandria city;91.5
TN;Alexandria town;86.6
NE;Alexandria village;94.4
OH;Alexandria village;93.2
IL;Alexis village;91.6
PA;Alfarata CDP;75.2
FL;Alford town;72.8
IN;Alfordsville town;87.3
ME;Alfred CDP;95.9
TX;Alfred CDP;0
NY;Alfred village;99.4
WA;Alger CDP;79.3
OH;Alger village;66.6
NM;Algodones CDP;84.9
WI;Algoma city;88.5
MS;Algoma town;78.1
IA;Algona city;94.4
WA;Algona city;82.7
MI;Algonac city;88.4
MD;Algonquin CDP;92.7
IL;Algonquin village;96.1
TN;Algood city;82
CA;Alhambra city;80.7
CA;Alhambra Valley CDP;90.5
IL;Alhambra village;91.6
AZ;Ali Chuk CDP;82.4
AZ;Ali Chukson CDP;56.8
AZ;Ali Molina CDP;73
TX;Alice Acres CDP;51.1
ND;Alice city;80.8
TX;Alice city;73.7
AL;Aliceville city;74.3
AR;Alicia town;79.2
OK;Aline town;88.6
PA;Aliquippa city;88.2
CA;Aliso Viejo city;96.4
AK;Allakaket city;72.9
NJ;Allamuchy CDP;100
TN;Allardt city;81
MI;Allegan city;87.3
NY;Allegany village;98.1
CA;Alleghany CDP;81.9
PA;Alleghenyville CDP;94.4
IA;Alleman city;96.9
MD;Allen CDP;100
SD;Allen CDP;36.9
KS;Allen city;84.2
KY;Allen city;62.4
TX;Allen city;95.6
MI;Allen Park city;91.5
OK;Allen town;84
MI;Allen village;87
NE;Allen village;95
NJ;Allendale borough;97.2
CA;Allendale CDP;96.6
MI;Allendale CDP;92.5
SC;Allendale town;75.4
IL;Allendale village;89.1
MO;Allendale village;97.6
NJ;Allenhurst borough;97.7
GA;Allenhurst city;87.9
PA;Allenport borough;91
PA;Allenport CDP;89.6
CO;Allenspark CDP;100
PA;Allensville CDP;58.9
KY;Allensville city;83.9
CA;Allensworth CDP;37.2
WI;Allenton CDP;92.8
NJ;Allentown borough;92.8
FL;Allentown CDP;95.2
GA;Allentown city;83.4
PA;Allentown city;77.3
IL;Allenville village;69.1
MO;Allenville village;78.4
NJ;Allenwood CDP;97.6
PA;Allenwood CDP;78.6
IA;Allerton city;89.1
IL;Allerton village;93
AL;Allgood town;48.1
NE;Alliance city;89.9
OH;Alliance city;84.5
NC;Alliance town;75.4
MS;Alligator town;73.8
PA;Allison CDP;95.6
IA;Allison city;94.1
PA;Allison Park CDP;96.7
VA;Allisonia CDP;90.1
WI;Allouez village;91.6
NJ;Alloway CDP;97.2
PA;Allport CDP;85.3
AR;Allport town;80.5
WA;Allyn CDP;93.9
WI;Alma Center village;87.7
AR;Alma city;88.7
GA;Alma city;77.1
KS;Alma city;93.4
MI;Alma city;90.8
MO;Alma city;85.9
NE;Alma city;92.1
WI;Alma city;92.8
CO;Alma town;98.6
TX;Alma town;62.3
IL;Alma village;86.3
CA;Almanor CDP;-
PA;Almedia CDP;92.2
KS;Almena city;93.2
WI;Almena village;84.1
WA;Almira town;87.8
NY;Almond village;95.8
WI;Almond village;84.6
ND;Almont city;92.1
MI;Almont village;89.7
AR;Almyra town;91.4
OR;Aloha CDP;88.1
CA;Alondra Park CDP;77.9
IL;Alorton village;80.5
CA;Alpaugh CDP;43.3
MI;Alpena city;89.6
AR;Alpena town;80
SD;Alpena town;74.1
NJ;Alpha borough;90.4
MN;Alpha city;98.6
IL;Alpha village;94.3
MI;Alpha village;88.2
GA;Alpharetta city;96.7
NJ;Alpine borough;95.8
AZ;Alpine CDP;86.3
CA;Alpine CDP;90.3
CO;Alpine CDP;100
OR;Alpine CDP;100
TX;Alpine city;86.4
UT;Alpine city;97.4
WY;Alpine Northeast CDP;100
WY;Alpine Northwest CDP;100
WY;Alpine town;93.1
CA;Alpine Village CDP;90.3
PA;Alsace Manor CDP;84.9
OR;Alsea CDP;93.5
ND;Alsen city;100
IL;Alsey village;86.2
IL;Alsip village;84
GA;Alston town;83.8
CA;Alta CDP;95
WY;Alta CDP;100
IA;Alta city;88.1
CA;Alta Sierra CDP;96.7
UT;Alta town;100
IA;Alta Vista city;93.1
KS;Alta Vista city;92.2
CA;Altadena CDP;89.5
NC;Altamahaw CDP;89
OR;Altamont CDP;89.3
PA;Altamont CDP;91.8
IL;Altamont city;81
KS;Altamont city;93.6
SD;Altamont town;70
TN;Altamont town;62.7
UT;Altamont town;93.4
MO;Altamont village;73.8
NY;Altamont village;97.5
FL;Altamonte Springs city;93.2
VA;Altavista town;79.7
MO;Altenburg city;89
FL;Altha town;93.9
AR;Altheimer city;80
NY;Altmar village;75.5
TX;Alto Bonito Heights CDP;0
CA;Alto CDP;96.2
IL;Alto Pass village;79.5
GA;Alto town;54.1
TX;Alto town;83.1
NH;Alton CDP;90.9
IL;Alton city;90.3
IA;Alton city;88.8
KS;Alton city;85.4
MO;Alton city;73.1
TX;Alton city;54.8
IN;Alton town;65.8
UT;Alton town;100
CO;Altona CDP;100
NY;Altona CDP;69.8
IN;Altona town;88
IL;Altona village;88
FL;Altoona CDP;69.4
WA;Altoona CDP;100
IA;Altoona city;94.9
KS;Altoona city;78.3
PA;Altoona city;89.1
WI;Altoona city;94.8
AL;Altoona town;66.9
MN;Altura city;94.5
FL;Alturas CDP;79.8
CA;Alturas city;88.2
AR;Altus city;80.7
OK;Altus city;79.8
WV;Alum Creek CDP;86.4
CA;Alum Rock CDP;68.2
FL;Alva CDP;82.6
OK;Alva city;88
IL;Alvan village;85.2
MN;Alvarado city;83.5
TX;Alvarado city;75.6
TX;Alvin city;83
NE;Alvo village;93.2
IA;Alvord city;95.5
TX;Alvord town;90.6
OH;Alvordton CDP;84.5
MT;Alzada CDP;70
LA;Ama CDP;87
TX;Amada Acres CDP;-
AZ;Amado CDP;69.9
CA;Amador City city;95.6
NY;Amagansett CDP;96.6
AR;Amagon town;74.3
UT;Amalga town;85.1
IA;Amana CDP;98.7
WA;Amanda Park CDP;76.6
OH;Amanda village;89.2
TX;Amargosa CDP;53.3
TX;Amarillo city;83.4
MI;Amasa CDP;90.4
TX;Amaya CDP;76.2
MO;Amazonia village;75.7
OK;Amber town;88.1
WI;Amberg CDP;86.6
OH;Amberley village;99
IN;Ambia town;69.1
PA;Ambler borough;91.7
AK;Ambler city;78.7
WA;Amboy CDP;94.3
IL;Amboy city;85.1
MN;Amboy city;90.8
IN;Amboy town;83.7
PA;Ambridge borough;88.1
GA;Ambrose city;69.1
ND;Ambrose city;89.5
LA;Amelia CDP;53.2
VA;Amelia Court House CDP;58.5
OH;Amelia village;88.1
NY;Amenia CDP;91.2
ND;Amenia city;87.3
CA;American Canyon city;85.2
ID;American Falls city;75.1
UT;American Fork city;93.6
IN;Americus CDP;90.9
GA;Americus city;77.4
KS;Americus city;89.3
WI;Amery city;86.9
NE;Ames CDP;100
IA;Ames city;97.4
TX;Ames city;89.7
WA;Ames Lake CDP;97.6
OK;Ames town;85.7
NY;Ames village;77.8
MA;Amesbury Town city;93.6
CA;Amesti CDP;71.7
OH;Amesville village;94.7
CO;Amherst CDP;100
NH;Amherst CDP;97.2
MA;Amherst Center CDP;96.5
OH;Amherst city;91.7
TX;Amherst city;72.9
WI;Amherst Junction village;96.3
VA;Amherst town;78.1
NE;Amherst village;96.2
WI;Amherst village;88.3
WV;Amherstdale CDP;78.8
ND;Amidon city;93.8
TX;Amistad CDP;100
LA;Amite City town;77.2
AR;Amity city;89.8
OR;Amity city;89.3
PA;Amity Gardens CDP;93.9
MO;Amity town;46.7
NY;Amityville village;92.2
ID;Ammon city;94.6
IN;Amo town;86.4
MO;Amoret city;75.7
OK;Amorita town;100
MS;Amory city;75
MT;Amsterdam CDP;83.6
MO;Amsterdam city;80.7
NY;Amsterdam city;80.1
OH;Amsterdam village;75.9
LA;Anacoco village;92.5
MT;Anaconda-Deer Lodge County;90.9
WA;Anacortes city;94.6
TX;Anacua CDP;100
OK;Anadarko city;82.7
CA;Anaheim city;75.8
HI;Anahola CDP;89.2
TX;Anahuac city;81.9
AK;Anaktuvuk Pass city;80.9
ND;Anamoose city;89.5
IA;Anamosa city;90.1
WV;Anawalt town;66.4
CA;Anchor Bay CDP;93.6
AK;Anchor Point CDP;93.8
IL;Anchor village;84.2
KY;Anchorage city;99.6
AK;Anchorage municipality;93
PA;Ancient Oaks CDP;96.3
KS;Andale city;95.8
AL;Andalusia city;81.1
IL;Andalusia village;91.5
IA;Anderson CDP;-
NJ;Anderson CDP;100
SD;Anderson CDP;86
AK;Anderson city;98.6
CA;Anderson city;85
IN;Anderson city;84.2
MO;Anderson city;72.7
SC;Anderson city;79.7
TX;Anderson city;83
WA;Anderson Island CDP;97.1
AL;Anderson town;85.7
OH;Andersonville CDP;93.8
TN;Andersonville CDP;76.1
GA;Andersonville city;67.3
NY;Andes CDP;90.8
NJ;Andover borough;91.3
MA;Andover CDP;95.3
IA;Andover city;89.3
KS;Andover city;97.3
MN;Andover city;95.8
SD;Andover town;86.5
IL;Andover village;92.3
NY;Andover village;94.3
OH;Andover village;81.7
IA;Andrew city;83.7
MD;Andrews AFB CDP;97.1
FL;Andrews CDP;73.1
TX;Andrews city;75.3
IN;Andrews town;82.2
NC;Andrews town;70.2
SC;Andrews town;81.9
AZ;Anegam CDP;81.6
ND;Aneta city;86.8
UT;Aneth CDP;67.1
NM;Angel Fire village;96
WI;Angelica CDP;80.6
NY;Angelica village;93.4
CA;Angels city;91.2
LA;Angie village;86.5
NC;Angier town;85.3
MN;Angle Inlet CDP;100
TX;Angleton city;79.9
IN;Angola city;86
NY;Angola on the Lake CDP;90.3
NY;Angola village;90.1
AK;Angoon city;86.7
MS;Anguilla town;81.4
TX;Angus city;72.8
CA;Angwin CDP;89.6
AK;Aniak city;83.8
NM;Animas CDP;91.1
IA;Anita city;93.7
WI;Aniwa village;89.3
IA;Ankeny city;97.3
WV;Anmoore town;83.8
MI;Ann Arbor city;96.4
IL;Anna city;76.5
TX;Anna city;88
FL;Anna Maria city;99.2
OH;Anna village;96
UT;Annabella town;94.7
MO;Annada village;95.8
NJ;Annandale CDP;96.5
VA;Annandale CDP;84.4
MN;Annandale city;88.3
IL;Annapolis CDP;100
MD;Annapolis city;87.9
MO;Annapolis city;73.8
MD;Annapolis Neck CDP;95.9
IL;Annawan town;93.9
TX;Annetta North town;93.9
TX;Annetta South town;99.5
TX;Annetta town;95.5
OR;Annex CDP;79.4
AL;Anniston city;79.8
MO;Anniston town;69
TX;Annona town;69.5
KY;Annville CDP;68.2
PA;Annville CDP;90.7
MN;Anoka city;89.7
NE;Anoka village;100
NE;Anselmo village;88.7
NE;Ansley village;92.2
ME;Anson CDP;89.1
TX;Anson city;77.9
CT;Ansonia city;87.5
OH;Ansonia village;83.2
NC;Ansonville town;82.4
WV;Ansted town;81.4
AZ;Antares CDP;60.9
CA;Antelope CDP;91.2
MT;Antelope CDP;85.3
SD;Antelope CDP;60.7
OR;Antelope city;100
WY;Antelope Hills CDP;-
WY;Antelope Valley-Crestview CDP;91.5
AZ;Anthem CDP;96.7
IA;Anthon city;90.8
KS;Anthony city;87.5
NM;Anthony city;58.6
TX;Anthony town;78.2
AR;Anthonyville town;47
KY;Anthoston CDP;100
MD;Antietam CDP;100
WI;Antigo city;88.1
UT;Antimony town;89.3
CA;Antioch city;86.9
IL;Antioch village;95.1
OH;Antioch village;90.6
ND;Antler city;80
OK;Antlers city;79.3
AR;Antoine town;78.7
NM;Anton Chico CDP;82.1
TX;Anton city;67.6
CO;Antonito town;89.1
SC;Antreville CDP;42.7
NH;Antrim CDP;90.9
NY;Antwerp village;87
OH;Antwerp village;88.6
AK;Anvik city;94.2
CA;Anza CDP;86
NM;Anzac Village CDP;100
NM;Apache Creek CDP;100
AZ;Apache Junction city;85.5
OK;Apache town;83.4
FL;Apalachicola city;83.7
NY;Apalachin CDP;92.7
NC;Apex town;96.1
TN;Apison CDP;94.4
IA;Aplington city;87.3
FL;Apollo Beach CDP;94.4
PA;Apollo borough;84.2
FL;Apopka city;86.6
VA;Appalachia town;76.3
IL;Apple Canyon Lake CDP;90.7
OH;Apple Creek village;86.8
WV;Apple Grove CDP;67.5
VA;Apple Mountain Lake CDP;94.4
IL;Apple River village;90
OH;Apple Valley CDP;92.5
MN;Apple Valley city;95.5
CA;Apple Valley town;86
UT;Apple Valley town;92.3
TX;Appleby city;93.3
MI;Applegate village;85.1
MN;Appleton city;87.2
WI;Appleton city;92.3
MO;Appleton City city;87.8
PA;Applewold borough;89
CO;Applewood CDP;96.8
GA;Appling CDP;83.5
VA;Appomattox town;78.5
CA;Aptos CDP;97.7
CA;Aptos Hills-Larkin Valley CDP;95.8
NC;Aquadale CDP;83.1
MD;Aquasco CDP;78
NY;Aquebogue CDP;96.6
VA;Aquia Harbour CDP;95.9
TX;Aquilla city;71.9
OH;Aquilla village;90.3
AL;Arab city;87.6
LA;Arabi CDP;87.2
GA;Arabi town;73.8
NM;Aragon CDP;100
GA;Aragon city;65.5
TX;Aransas Pass city;79
OK;Arapaho town;84.7
WY;Arapahoe CDP;82.2
NE;Arapahoe city;89.9
NC;Arapahoe town;88.2
MO;Arbela town;80
CO;Arboles CDP;92.4
ID;Arbon Valley CDP;76.4
WV;Arbovale CDP;86.5
CA;Arbuckle CDP;59.1
MD;Arbutus CDP;87.5
MO;Arbyrd city;78.4
GA;Arcade city;71.6
NY;Arcade village;87.9
MI;Arcadia CDP;92.5
SC;Arcadia CDP;71.3
CA;Arcadia city;92.1
FL;Arcadia city;74.8
IA;Arcadia city;92.3
KS;Arcadia city;79.4
MO;Arcadia city;81.6
WI;Arcadia city;77.7
SC;Arcadia Lakes town;96.9
IN;Arcadia town;88
LA;Arcadia town;74
OK;Arcadia town;95
PA;Arcadia University CDP;100
NE;Arcadia village;95.3
OH;Arcadia village;95.9
OH;Arcanum village;89
CA;Arcata city;91.9
PA;Archbald borough;92.5
OH;Archbold village;88.3
NC;Archdale city;81.4
NE;Archer CDP;79.5
FL;Archer city;90.6
IA;Archer city;93.3
TX;Archer City city;87
NC;Archer Lodge town;86.2
MO;Archie city;94.1
ID;Arco city;92.3
MN;Arco city;85.1
VA;Arcola CDP;72.2
IL;Arcola city;82.6
TX;Arcola city;63.7
MS;Arcola town;69.9
MO;Arcola village;80.9
AK;Arctic Village CDP;75
MN;Arden Hills city;96.5
MD;Arden on the Severn CDP;94
DE;Arden village;95.7
CA;Arden-Arcade CDP;90.2
DE;Ardencroft village;95.7
DE;Ardentown village;98.3
PA;Ardmore CDP;94.1
OK;Ardmore city;84.1
TN;Ardmore city;82
AL;Ardmore town;77.7
ND;Ardoch city;28.3
NY;Ardsley village;94
IA;Aredale city;79.1
WI;Arena village;90.3
NM;Arenas Valley CDP;90.2
PA;Arendtsville borough;81.4
IL;Arenzville village;95.1
IL;Argenta village;95.5
MI;Argentine CDP;91.6
AL;Argo town;87.5
KS;Argonia city;94.5
WI;Argonne CDP;92.2
IN;Argos town;80.7
ND;Argusville city;96.5
MN;Argyle city;86.6
TX;Argyle city;98.1
GA;Argyle town;66.3
MO;Argyle town;89.3
NY;Argyle village;92.4
WI;Argyle village;93.6
SC;Arial CDP;81.8
ID;Arimo city;92.7
IA;Arion city;68.3
FL;Aripeka CDP;92.5
IA;Arispe city;89.8
PA;Aristes CDP;95.2
CO;Aristocrat Ranchettes CDP;71.6
AL;Ariton town;71.3
AZ;Arivaca CDP;90.4
AZ;Arivaca Junction CDP;78
AZ;Arizona City CDP;90.3
AZ;Arizona Village CDP;72.4
KY;Arjay CDP;56.7
AR;Arkadelphia city;85.9
AR;Arkansas City city;73.9
KS;Arkansas City city;87.2
WI;Arkansaw CDP;88
WI;Arkdale CDP;90.7
MO;Arkoe town;87.5
OK;Arkoma town;76.6
NY;Arkport village;93
MT;Arlee CDP;90.7
AL;Arley town;80.6
AZ;Arlington CDP;65.6
IN;Arlington CDP;78.8
MA;Arlington CDP;95.9
NY;Arlington CDP;89.7
VT;Arlington CDP;92.1
VA;Arlington CDP;93.5
WY;Arlington CDP;100
GA;Arlington city;71.2
IA;Arlington city;88.6
KS;Arlington city;86.9
KY;Arlington city;72
MN;Arlington city;81.5
OR;Arlington city;94.1
SD;Arlington city;87.4
TX;Arlington city;84.7
WA;Arlington city;90.5
PA;Arlington Heights CDP;91.8
WA;Arlington Heights CDP;90.8
IL;Arlington Heights village;96
OH;Arlington Heights village;85
TN;Arlington town;94.1
IL;Arlington village;89.7
NE;Arlington village;95.4
OH;Arlington village;93.8
WI;Arlington village;97
KS;Arma city;88.4
MI;Armada village;90.4
PA;Armagh borough;93
IL;Armington village;91.7
CA;Armona CDP;65.3
NY;Armonk CDP;97.5
SD;Armour city;85.2
IA;Armstrong city;89.6
MO;Armstrong city;82.5
OK;Armstrong town;63.2
LA;Arnaudville town;80.7
ND;Arnegard city;86.7
OK;Arnett town;88.3
CA;Arnold CDP;92.2
MD;Arnold CDP;96.6
MN;Arnold CDP;95.7
MO;Arnold city;86.3
PA;Arnold city;88.2
PA;Arnold City CDP;86
MS;Arnold Line CDP;96.2
NE;Arnold village;95.2
IA;Arnolds Park city;95.1
GA;Arnoldsville city;87
PA;Arnot CDP;79.6
IL;Aroma Park village;88.5
CA;Aromas CDP;91.3
PA;Arona borough;85.1
TX;Arp city;85.2
OK;Arpelar CDP;96.3
WI;Arpin village;79.7
NM;Arrey CDP;42.6
CO;Arriba town;90.8
VA;Arrington CDP;72.3
MO;Arrow Point village;87.2
MO;Arrow Rock town;100
WY;Arrowhead Springs CDP;100
IL;Arrowsmith village;97.8
TX;Arroyo Colorado Estates CDP;17.6
TX;Arroyo Gardens CDP;53.6
CA;Arroyo Grande city;93.9
NM;Arroyo Hondo CDP;96.5
NM;Arroyo Seco CDP;89.3
SD;Artas town;80
KY;Artemus CDP;75.8
CA;Artesia city;76.9
NM;Artesia city;81.8
MS;Artesia town;65.6
SD;Artesian town;73.6
IA;Arthur city;94.1
ND;Arthur city;91.4
IL;Arthur village;82.1
NE;Arthur village;90.5
CA;Artois CDP;78.5
WA;Artondale CDP;96.5
WY;Arvada CDP;100
CO;Arvada city;94.2
CA;Arvin city;33.6
NJ;Asbury CDP;76
IA;Asbury city;96.3
MO;Asbury city;78.4
FL;Asbury Lake CDP;91
NJ;Asbury Park city;82
VT;Ascutney CDP;86.1
AR;Ash Flat city;74.1
AZ;Ash Fork CDP;68.5
MO;Ash Grove city;81.9
NY;Asharoken village;100
RI;Ashaway CDP;95.8
VA;Ashburn CDP;96.3
GA;Ashburn city;66.3
MO;Ashburn town;27.5
MN;Ashby city;96.4
AR;Ashdown city;88.2
NC;Asheboro city;77.3
OK;Asher town;76.5
TX;Asherton city;54.6
KS;Asherville CDP;-
NC;Asheville city;92.3
WA;Ashford CDP;84.8
AL;Ashford town;83.5
WI;Ashippun CDP;93.4
IL;Ashkum village;94.2
PA;Ashland borough;86.1
CA;Ashland CDP;76.6
ME;Ashland CDP;85.4
MT;Ashland CDP;84.7
NH;Ashland CDP;94.9
NJ;Ashland CDP;95.4
KS;Ashland city;92.1
KY;Ashland city;89.3
MO;Ashland city;91
NE;Ashland city;93.1
OH;Ashland city;87.6
OR;Ashland city;96.8
WI;Ashland city;94.8
TN;Ashland City town;85.8
SD;Ashland Heights CDP;95.4
AL;Ashland town;77.9
MS;Ashland town;72.6
OK;Ashland town;88.2
VA;Ashland town;84.1
IL;Ashland village;92.5
LA;Ashland village;77.2
PA;Ashley borough;88.1
MO;Ashley CDP;78.7
IL;Ashley city;81.1
ND;Ashley city;75.9
NC;Ashley Heights CDP;81.3
IN;Ashley town;83.6
MI;Ashley village;81.6
OH;Ashley village;80.2
